year,month,model,shipment_axes
2026,1,AR,49
2026,1,ARH,38
2026,1,AX,229
2026,1,AXG,757
2026,1,AZ,12
2026,1,AZV,31
2026,1,CXN,211
2026,1,CXS,90
2026,1,GYA,5
2026,1,SAX,399
2026,1,其他,125
2026,2,AR,64
2026,2,ARH,81
2026,2,AX,164
2026,2,AXG,542
2026,2,AZ,2
2026,2,AZV,79
2026,2,CXN,548
2026,2,CXS,508
2026,2,GYA,0
2026,2,SAX,202
2026,2,其他,162
2026,3,AR,150
2026,3,ARH,72
2026,3,AX,344
2026,3,AXG,917
2026,3,AZ,29
2026,3,AZV,127
2026,3,CXN,340
2026,3,CXS,589
2026,3,GYA,56
2026,3,SAX,555
2026,3,其他,118
2026,4,AR,105
2026,4,ARH,127
2026,4,AX,576
2026,4,AXG,950
2026,4,AZ,86
2026,4,AZV,83
2026,4,CXN,271
2026,4,CXS,563
2026,4,GYA,114
2026,4,SAX,598
2026,4,其他,49
2026,5,AR,241
2026,5,ARH,32
2026,5,AX,450
2026,5,AXG,1173
2026,5,AZ,37
2026,5,AZV,94
2026,5,CXN,531
2026,5,CXS,622
2026,5,GYA,96
2026,5,SAX,479
2026,5,其他,19
2026,6,AR,19
2026,6,ARH,189
2026,6,AX,362
2026,6,AXG,1477
2026,6,AZ,106
2026,6,AZV,103
2026,6,CXN,537
2026,6,CXS,628
2026,6,GYA,0
2026,6,SAX,687
2026,6,其他,19
2026,7,AR,77
2026,7,ARH,245
2026,7,AX,332
2026,7,AXG,2545
2026,7,AZ,135
2026,7,AZV,43
2026,7,CXN,678
2026,7,CXS,743
2026,7,GYA,114
2026,7,SAX,1238
2026,7,其他,39
2026,8,AR,384
2026,8,ARH,381
2026,8,AX,559
2026,8,AXG,2507
2026,8,AZ,113
2026,8,AZV,215
2026,8,CXN,1167
2026,8,CXS,670
2026,8,GYA,1
2026,8,SAX,899
2026,8,其他,143
2026,9,AR,27
2026,9,ARH,180
2026,9,AX,161
2026,9,AXG,624
2026,9,AZ,3
2026,9,AZV,0
2026,9,CXN,98
2026,9,CXS,305
2026,9,GYA,18
2026,9,SAX,203
2026,9,其他,19
2026,10,AR,0
2026,10,ARH,0
2026,10,AX,0
2026,10,AXG,0
2026,10,AZ,0
2026,10,AZV,0
2026,10,CXN,0
2026,10,CXS,0
2026,10,GYA,0
2026,10,SAX,0
2026,10,其他,0
2026,11,AR,0
2026,11,ARH,0
2026,11,AX,0
2026,11,AXG,0
2026,11,AZ,0
2026,11,AZV,0
2026,11,CXN,0
2026,11,CXS,0
2026,11,GYA,0
2026,11,SAX,0
2026,11,其他,0
2026,12,AR,0
2026,12,ARH,0
2026,12,AX,0
2026,12,AXG,0
2026,12,AZ,0
2026,12,AZV,0
2026,12,CXN,0
2026,12,CXS,0
2026,12,GYA,0
2026,12,SAX,0
2026,12,其他,0
